Year	WYMon	Basin	ppt_mm	pet_mm	tmx_C	tmn_C	tav_C	snw_mm	mlt_mm	sbl_mm	pck_mm	exc_mm	aet_mm	rch_mm	cwd_mm	run_mm	str_mm	rch_acft	run_acft	Basin_area_m^2
1976	1	0	122.19	74.12	17.34	2.14	9.74	10.93	0	10.93	0	48.07	74.12	0	0	0	83.8	0	0	72900
1976	2	0	59.79	30.5	11.16	-0.97	5.09	22.03	14.07	7.96	0	29.29	30.5	0	0	0	105.13	0	0	72900
1976	3	0	16.53	17.94	9.36	-3.05	3.15	8.72	2.41	6.32	0	0	0	0	0	0	115.34	0	0	72900
1976	4	0	2.25	20.7	10.01	-3.2	3.4	1.14	0	1.14	0	0	0	0	0	0	116.45	0	0	72900
1976	5	0	109.98	21.8	9.04	-3.54	2.75	61.55	51.95	6.82	2.78	88.18	0	42	0	23.95	150.88	2.5	1.4	72900
1976	6	0	118.42	30.99	9.14	-3.82	2.66	66.89	61.64	8.02	0	87.43	0	46.5	0	66.68	150.88	2.7	3.9	72900
1976	7	0	70.98	59.2	11.51	-1.37	5.07	26.84	15.12	11.72	0	11.78	59.2	0.06	0	0	150.88	0	0	72900
1976	8	0	8.13	158.1	20.86	5.39	13.12	0	0	0	0	0	120.13	0	37.97	0	38.88	0	0	72900
1976	9	0	5.6	162.8	23.52	7.31	15.41	0	0	0	0	0	5.6	0	157.2	0	38.88	0	0	72900
1976	10	0	9.37	175.2	28.29	11.11	19.7	0	0	0	0	0	9.37	0	165.83	0	38.88	0	0	72900
1976	11	0	11.7	137.5	24.06	7.78	15.92	0	0	0	0	0	11.7	0	125.8	0	38.88	0	0	72900
1976	12	0	146.08	121.5	23.18	8.43	15.8	0	0	0	0	24.58	121.5	0	0	0	63.46	0	0	72900
1977	1	0	31.12	88.4	19.24	3.54	11.39	0	0	0	0	0	55.7	0	32.7	0	38.88	0	0	72900
1977	2	0	24.68	49.49	14.28	1.82	8.05	3.33	0	3.33	0	0	21.35	0	28.14	0	38.88	0	0	72900
1977	3	0	20.06	22.57	10.68	-2.27	4.21	8.94	2.02	6.92	0	0	13.14	0	9.43	0	38.88	0	0	72900
1977	4	0	60.77	10.71	6.94	-4.56	1.19	42.59	14.76	5.37	22.47	50.06	0	0	0	0	71.81	0	0	72900
1977	5	0	46.82	34.72	11.75	-1.84	4.96	18.4	32.35	8.51	0	12.1	34.72	0	0	0	97.86	0	0	72900
1977	6	0	42.93	20.29	7.43	-4.89	1.27	29.24	22.61	6.62	0	22.64	0	0	0	0	134.17	0	0	72900
1977	7	0	6.39	107.06	16.94	1.7	9.32	0.75	0	0.75	0	0	100.93	0	6.14	0	38.88	0	0	72900
1977	8	0	88.78	95.14	12.61	1.56	7.08	15.59	0	15.59	0	0	73.19	0	21.95	0	38.88	0	0	72900
1977	9	0	19.99	176.9	25.47	9.66	17.56	0	0	0	0	0	19.99	0	156.91	0	38.88	0	0	72900
1977	10	0	1.88	174.7	28.65	10.56	19.61	0	0	0	0	0	1.88	0	172.82	0	38.88	0	0	72900
1977	11	0	18.85	160.4	28.31	11.72	20.02	0	0	0	0	0	18.85	0	141.55	0	38.88	0	0	72900
1977	12	0	1.26	119.9	24.14	6.82	15.48	0	0	0	0	0	1.26	0	118.64	0	38.88	0	0	72900
1978	1	0	24.24	93.3	20.42	4.71	12.57	0	0	0	0	0	24.24	0	69.06	0	38.88	0	0	72900
1978	2	0	38.85	43.11	12.84	1.14	6.99	7.84	0	7.84	0	0	31.01	0	12.09	0	38.88	0	0	72900
1978	3	0	352.51	28	9.94	0.12	5.03	121.33	105.2	7.63	8.5	324.51	28	46.5	0	149.87	150.88	2.7	8.9	72900
1978	4	0	320.13	9.95	5.85	-2.82	1.51	233.36	18.79	5.27	217.8	310.18	0	46.5	0	59.06	150.88	2.7	3.5	72900
1978	5	0	344.43	11.05	5.81	-3.39	1.21	257.95	22.86	5.41	447.48	333.38	0	42	0	67.34	150.88	2.5	4	72900
1978	6	0	331.48	43.32	8.91	-0.88	4.01	148.3	177.36	9.64	408.78	288.16	43.32	46.5	0	270.72	150.88	2.7	16	72900
1978	7	0	200.04	63.36	10.75	-0.27	5.24	68.43	385.14	12.26	79.81	136.68	63.36	45	0	408.39	150.88	2.7	24.1	72900
1978	8	0	8.12	133.59	18.11	2.81	10.46	0.37	58.72	21.45	0	0	133.59	0	0	0	83.77	0	0	72900
1978	9	0	0.89	163.6	23.92	7.15	15.54	0	0	0	0	0	45.78	0	117.82	0	38.88	0	0	72900
1978	10	0	5.59	170.8	28.23	9.72	18.98	0	0	0	0	0	5.59	0	165.21	0	38.88	0	0	72900
1978	11	0	3.45	155.8	28.01	10.31	19.16	0	0	0	0	0	3.45	0	152.35	0	38.88	0	0	72900
1978	12	0	143.47	115	22.37	6.63	14.5	0	0	0	0	28.47	115	0	0	0	67.35	0	0	72900
1979	1	0	4.88	99	22.52	5.39	13.96	0	0	0	0	0	33.35	0	65.65	0	38.88	0	0	72900
1979	2	0	59.58	19.96	9.11	-2.75	3.18	31.4	24.82	6.58	0	39.62	0	0	0	0	91.88	0	0	72900
1979	3	0	127.52	4.13	5.2	-6.36	-0.58	108.77	0	4.51	104.26	123.39	0	0	0	0	110.63	0	0	72900
1979	4	0	158.63	3.05	4.6	-6.23	-0.82	142.52	0	4.37	242.41	155.58	0	0	0	0	126.74	0	0	72900
1979	5	0	210.84	6.92	5.33	-5.2	0.06	174.2	0	4.87	411.74	203.92	0	12.5	0	0	150.88	0.7	0	72900
1979	6	0	213.78	31.03	7.98	-2.4	2.79	121.51	123.25	8.03	401.98	182.75	0	46.5	0	169.02	150.88	2.7	10	72900
1979	7	0	15.32	72.5	13.2	-0.58	6.31	4.54	393.06	13.46	0	0	72.5	45	0	286.34	150.88	2.7	16.9	72900
1979	8	0	25.61	153.6	19.43	5.49	12.46	0	0	0	0	0	137.61	0	15.99	0	38.88	0	0	72900
1979	9	0	3.16	169.4	25.05	7.76	16.41	0	0	0	0	0	3.16	0	166.24	0	38.88	0	0	72900
1979	10	0	4.95	172.9	28.19	10.45	19.32	0	0	0	0	0	4.95	0	167.95	0	38.88	0	0	72900
1979	11	0	5.96	146.1	26.43	8.42	17.43	0	0	0	0	0	5.96	0	140.14	0	38.88	0	0	72900
1979	12	0	16.92	129.6	27.68	7.32	17.5	0	0	0	0	0	16.92	0	112.68	0	38.88	0	0	72900
1980	1	0	76.72	83.5	19.55	2.75	11.15	3.42	0	3.42	0	0	73.3	0	10.2	0	38.88	0	0	72900
1980	2	0	70.3	29.01	10.26	-0.74	4.76	27.1	19.33	7.76	0	41.29	29.01	0	0	0	72.41	0	0	72900
1980	3	0	128.74	22.83	9.5	-1.17	4.17	56.35	49.39	6.96	0	105.91	22.83	20.48	0	0	150.88	1.2	0	72900
1980	4	0	605.54	16.56	7.49	-2.15	2.67	354.91	33.11	6.13	315.66	588.98	0	46.5	0	237.24	150.88	2.7	14	72900
1980	5	0	399.14	27.14	8.8	-1.49	3.66	193.56	69.04	7.52	432.65	372	27.14	42	0	205.48	150.88	2.5	12.1	72900
1980	6	0	174.88	23.3	7	-3.11	1.95	114.34	85.92	7.02	454.05	151.58	0	46.5	0	99.96	150.88	2.7	5.9	72900
1980	7	0	57.47	83.29	14.13	0.27	7.2	13.39	452.57	14.87	0	0	83.29	45	0	368.36	150.88	2.7	21.8	72900
1980	8	0	53.55	114.83	14.82	2.35	8.59	4.94	0	4.94	0	0	114.83	0	0	0	84.66	0	0	72900
1980	9	0	1.25	150.7	21.5	5.75	13.62	0	0	0	0	0	47.03	0	103.67	0	38.88	0	0	72900
1980	10	0	2.49	175.1	28.57	10.8	19.69	0	0	0	0	0	2.49	0	172.61	0	38.88	0	0	72900
1980	11	0	0.63	152.5	27.5	9.61	18.55	0	0	0	0	0	0.63	0	151.87	0	38.88	0	0	72900
1980	12	0	1.06	121.5	25.15	6.46	15.8	0	0	0	0	0	1.06	0	120.44	0	38.88	0	0	72900
1981	1	0	20.9	92.5	20.94	3.77	12.36	0	0	0	0	0	20.9	0	71.6	0	38.88	0	0	72900
1981	2	0	10.09	40.76	14.01	0.06	7.04	2.49	0	2.49	0	0	7.6	0	33.16	0	38.88	0	0	72900
1981	3	0	109.08	24.76	10.6	-1.36	4.62	44.33	37.12	7.21	0	84.32	24.76	0	0	0	116	0	0	72900
1981	4	0	231.68	20.05	8.65	-2.06	3.29	120.27	40.86	6.59	72.82	211.63	0	46.5	0	70.88	150.88	2.7	4.2	72900
1981	5	0	59.16	25.65	9.96	-3.11	3.43	29.92	64.7	7.32	30.72	33.51	0	42	0	51.94	150.88	2.5	3.1	72900
1981	6	0	228.16	34.81	8.5	-2.13	3.19	120.84	140.7	8.52	2.34	193.35	0	46.5	0	201.52	150.88	2.7	11.9	72900
1981	7	0	55.58	101.07	15.5	1.62	8.56	7.53	0	9.87	0	0	101.07	0	0	0	97.87	0	0	72900
1981	8	0	47.56	146.6	18.51	4.34	11.43	0	0	0	0	0	106.55	0	40.05	0	38.88	0	0	72900
1981	9	0	0	183.8	26.95	10.39	18.67	0	0	0	0	0	0	0	183.8	0	38.88	0	0	72900
1981	10	0	0.47	177.4	29.47	10.65	20.06	0	0	0	0	0	0.47	0	176.93	0	38.88	0	0	72900
1981	11	0	5.16	164.4	30	11.55	20.77	0	0	0	0	0	5.16	0	159.24	0	38.88	0	0	72900
1981	12	0	1.81	129.2	26.24	8.58	17.41	0	0	0	0	0	1.81	0	127.39	0	38.88	0	0	72900
1982	1	0	84.65	64.06	16	1.13	8.56	13.49	1.14	12.35	0	20.59	64.06	0	0	0	47.12	0	0	72900
1982	2	0	138.49	36.32	11.13	0.52	5.83	38.9	30.18	8.72	0	102.17	36.32	0	0	0	140.57	0	0	72900
1982	3	0	110.1	21.64	9.3	-1.42	3.94	50.53	43.73	6.8	0	88.46	21.64	46.5	0	24.85	150.88	2.7	1.5	72900
1982	4	0	321.37	4.26	5.12	-6.44	-0.66	276.33	0	4.52	271.81	317.11	0	45.04	0	0	150.88	2.7	0	72900
1982	5	0	104.83	25.13	9.67	-3	3.33	53.78	63	7.26	255.34	79.7	0	42	0	72.05	150.88	2.5	4.3	72900
1982	6	0	397.14	27	7.11	-2.25	2.43	243.97	107.35	7.5	384.46	370.14	0	46.5	0	214.02	150.88	2.7	12.6	72900
1982	7	0	333.36	68.2	11.8	-0.31	5.75	104.88	422.26	12.89	54.19	265.16	68.2	45	0	537.54	150.88	2.7	31.8	72900
1982	8	0	13.78	147.7	18.96	4.22	11.59	0	30.89	23.3	0	0	147.7	0	0	0	47.85	0	0	72900
1982	9	0	41.8	154.9	21.2	7.27	14.23	0	0	0	0	0	50.77	0	104.13	0	38.88	0	0	72900
1982	10	0	5.71	167.5	26.46	10.4	18.43	0	0	0	0	0	5.71	0	161.79	0	38.88	0	0	72900
1982	11	0	16.71	155.8	27.82	10.51	19.16	0	0	0	0	0	16.71	0	139.09	0	38.88	0	0	72900
1982	12	0	139.24	117.7	22.58	7.48	15.03	0	0	0	0	21.54	117.7	0	0	0	60.42	0	0	72900
1983	1	0	139.31	77.82	17.27	2.69	9.98	7.74	0	7.74	0	61.49	77.82	0	0	0	114.17	0	0	72900
1983	2	0	277.96	22.49	8.81	-1.51	3.65	134.94	128.03	6.91	0	255.47	22.49	45	0	166.85	150.88	2.7	9.9	72900
1983	3	0	289.1	9.63	6.59	-4.03	1.28	204.98	26.77	5.23	172.99	279.47	0	46.5	0	64.39	150.88	2.7	3.8	72900
1983	4	0	301.48	13.43	7.44	-3.65	1.9	194.37	23.5	5.72	338.14	288.05	0	46.5	0	84.11	150.88	2.7	5	72900
1983	5	0	291.23	20.32	7.3	-1.92	2.69	171.2	50.81	6.63	451.9	270.91	0	42	0	128.84	150.88	2.5	7.6	72900
1983	6	0	410.38	34.07	7.66	-1.35	3.16	220.9	139.37	8.43	525	376.31	0	46.5	0	282.35	150.88	2.7	16.7	72900
1983	7	0	143.25	48.05	9.72	-1.71	4.01	65.3	294.37	10.26	285.67	95.2	48.05	45	0	279.27	150.88	2.7	16.5	72900
1983	8	0	39.25	125.85	17.59	2.33	9.96	3.01	268.24	20.44	0	0	125.85	46.5	0	132.13	150.88	2.7	7.8	72900
1983	9	0	2.01	157.1	22.62	6.49	14.55	0	0	0	0	0	114.01	0	43.09	0	38.88	0	0	72900
1983	10	0	0	161.2	25.92	8.91	17.41	0	0	0	0	0	0	0	161.2	0	38.88	0	0	72900
1983	11	0	50.32	154.2	26.76	10.98	18.87	0	0	0	0	0	50.32	0	103.88	0	38.88	0	0	72900
1983	12	0	37.31	130.7	26.01	9.45	17.73	0	0	0	0	0	37.31	0	93.39	0	38.88	0	0	72900
1984	1	0	19.69	88.5	18.67	4.14	11.41	0	0	0	0	0	19.69	0	68.81	0	38.88	0	0	72900
1984	2	0	338.03	26.42	9.12	-0.6	4.26	142.58	135.16	7.43	0	311.61	26.42	43.5	0	148.68	150.88	2.6	8.8	72900
1984	3	0	319.01	13.11	6.81	-2.23	2.29	202.2	47.89	5.68	148.63	305.9	0	46.5	0	118.2	150.88	2.7	7	72900
1984	4	0	26.98	20.77	9.15	-2.3	3.43	13.67	42.47	6.69	113.14	6.21	0	46.5	0	9.28	150.88	2.7	0.5	72900
1984	5	0	124.19	21.85	8.95	-3.42	2.76	69.47	52.23	6.83	123.56	102.34	0	42	0	64.95	150.88	2.5	3.8	72900
1984	6	0	85.03	63.53	11.64	0.3	5.97	23.99	135.27	12.28	0	21.5	63.53	46.5	0	86.28	150.88	2.7	5.1	72900
1984	7	0	66.07	71.75	12.5	-0.27	6.12	19.51	6.15	13.36	0	0	71.75	0	0	0	131.85	0	0	72900
1984	8	0	0.58	166.2	22.01	6.69	14.35	0	0	0	0	0	93.55	0	72.65	0	38.88	0	0	72900
1984	9	0	15.44	165.1	23.53	7.97	15.75	0	0	0	0	0	15.44	0	149.66	0	38.88	0	0	72900
1984	10	0	20.2	184.6	29.24	13.33	21.29	0	0	0	0	0	20.2	0	164.4	0	38.88	0	0	72900
1984	11	0	7.1	163.3	28.53	12.57	20.55	0	0	0	0	0	7.1	0	156.2	0	38.88	0	0	72900
1984	12	0	5.81	134.3	26.82	10.19	18.5	0	0	0	0	0	5.81	0	128.49	0	38.88	0	0	72900
1985	1	0	49.3	63.39	15.3	1.32	8.31	7.69	0	7.69	0	0	41.61	0	21.78	0	38.88	0	0	72900
1985	2	0	242.62	20.01	8.84	-2.45	3.19	127.86	121.28	6.59	0	222.61	0	45	0	79.03	150.88	2.7	4.7	72900
1985	3	0	106.77	3.75	5.12	-6.76	-0.82	92.21	0	4.46	87.75	103.02	0	14.56	0	0	150.88	0.9	0	72900
1985	4	0	78.92	8.28	6.43	-5.5	0.46	59.54	0	5.05	142.24	70.64	0	19.38	0	0	150.88	1.1	0	72900
1985	5	0	112.48	18.85	8.71	-4.39	2.16	67.75	40.8	6.43	162.75	93.63	0	42	0	43.54	150.88	2.5	2.6	72900
1985	6	0	237.68	25.62	7.93	-3.81	2.06	147.99	91	7.32	212.42	212.06	0	46.5	0	134.19	150.88	2.7	7.9	72900
1985	7	0	6.71	110.47	17.19	1.96	9.58	0.68	194.67	18.43	0	0	110.47	45	0	45.23	150.88	2.7	2.7	72900
1985	8	0	2.82	147.6	18.83	4.33	11.58	0	0	0	0	0	114.82	0	32.78	0	38.88	0	0	72900
1985	9	0	10.52	180.8	26.31	10.07	18.19	0	0	0	0	0	10.52	0	170.28	0	38.88	0	0	72900
1985	10	0	10.01	185	29.63	13.1	21.36	0	0	0	0	0	10.01	0	174.99	0	38.88	0	0	72900
1985	11	0	1.28	154.9	27.87	10.14	19.01	0	0	0	0	0	1.28	0	153.62	0	38.88	0	0	72900
1985	12	0	42.02	109.3	20.72	6.04	13.38	0	0	0	0	0	42.02	0	67.28	0	38.88	0	0	72900
1986	1	0	60.41	83.3	18.44	3.07	10.76	1.69	0	1.69	0	0	58.72	0	24.58	0	38.88	0	0	72900
1986	2	0	235.88	20.65	8.78	-2.14	3.32	121.83	115.16	6.67	0	215.23	0	45	0	72.21	150.88	2.7	4.3	72900
1986	3	0	110.01	13.09	7.59	-3.41	2.09	69.11	43.71	5.68	19.72	96.92	0	46.5	0	38.11	150.88	2.7	2.3	72900
1986	4	0	184.12	33.53	10.94	0.29	5.61	55.5	66.86	8.36	0	150.59	33.53	46.5	0	115.45	150.88	2.7	6.8	72900
1986	5	0	572.09	24.4	8.38	-1.88	3.25	299.98	61.39	7.16	231.43	547.69	0	42	0	291.5	150.88	2.5	17.2	72900
1986	6	0	271.85	63.07	12.77	-0.4	6.18	80.5	273.22	12.22	26.49	208.78	63.07	46.5	0	355	150.88	2.7	21	72900
1986	7	0	61.52	93.3	13.67	1.56	7.62	9.86	20.17	16.18	0	0	93.3	0	0	0	129.41	0	0	72900
1986	8	0	12.16	148.9	19.33	4.19	11.76	0	0	0	0	0	102.69	0	46.21	0	38.88	0	0	72900
1986	9	0	0	174.9	25.62	8.89	17.26	0	0	0	0	0	0	0	174.9	0	38.88	0	0	72900
1986	10	0	7.19	168.8	26.94	10.34	18.64	0	0	0	0	0	7.19	0	161.61	0	38.88	0	0	72900
1986	11	0	2.02	164.8	29.61	12.09	20.85	0	0	0	0	0	2.02	0	162.78	0	38.88	0	0	72900
1986	12	0	54.6	105.6	20.58	4.73	12.65	0	0	0	0	0	54.6	0	51	0	38.88	0	0	72900
1987	1	0	11.04	81.43	18.34	2.85	10.6	0.46	0	0.46	0	0	10.58	0	70.86	0	38.88	0	0	72900
1987	2	0	19.91	39.62	12.9	0.35	6.62	5	0	5	0	0	14.91	0	24.71	0	38.88	0	0	72900
1987	3	0	22.76	18.4	8.88	-2.32	3.28	11.83	5.45	6.38	0	4.36	0	0	0	0	55.26	0	0	72900
1987	4	0	102.35	8.77	6.66	-5.56	0.55	75.88	6.82	5.11	63.95	93.58	0	0	0	0	88.55	0	0	72900
1987	5	0	162.86	15.51	7.59	-4.38	1.6	107.21	30.32	6	134.85	147.35	0	23.64	0	0	150.88	1.4	0	72900
1987	6	0	159.33	37.2	8.87	-2	3.43	80.62	151.74	8.84	54.89	122.13	0	46.5	0	183.95	150.88	2.7	10.9	72900
1987	7	0	43.99	125.53	18.21	3.07	10.64	1.25	35.74	20.4	0	0	125.53	0	0	0	103.83	0	0	72900
1987	8	0	39.47	152	18.72	5.72	12.22	0	0	0	0	0	104.42	0	47.58	0	38.88	0	0	72900
1987	9	0	18.22	176.4	25.9	9.09	17.49	0	0	0	0	0	18.22	0	158.18	0	38.88	0	0	72900
1987	10	0	0.8	160.7	25.52	9.14	17.33	0	0	0	0	0	0.8	0	159.9	0	38.88	0	0	72900
1987	11	0	1.79	159.9	28.82	11.02	19.92	0	0	0	0	0	1.79	0	158.11	0	38.88	0	0	72900
1987	12	0	7.64	127.6	25.82	8.32	17.07	0	0	0	0	0	7.64	0	119.96	0	38.88	0	0	72900
1988	1	0	60.33	97.4	21.25	5.88	13.56	0	0	0	0	0	60.33	0	37.07	0	38.88	0	0	72900
1988	2	0	72.21	30.56	10.18	-0.27	4.96	26.05	18.08	7.97	0	41.65	30.56	0	0	0	72.57	0	0	72900
1988	3	0	178.09	4.62	5.25	-5.74	-0.25	149.73	0	4.57	145.16	173.47	0	0	0	0	100.93	0	0	72900
1988	4	0	193.41	11.26	6.98	-4.24	1.37	133.42	16.99	5.44	256.15	182.15	0	27.03	0	0	150.88	1.6	0	72900
1988	5	0	23.05	33.14	12.13	-2.61	4.76	9.55	89.92	8.3	167.48	0	33.14	42	0	28.27	150.88	2.5	1.7	72900
1988	6	0	48.28	57.11	12.07	-0.91	5.58	16.4	172.44	11.44	0	0	57.11	46.5	0	100.71	150.88	2.7	6	72900
1988	7	0	101.96	97.54	14.42	1.68	8.05	14.57	0	14.57	0	4.42	97.54	0	0	0	140.73	0	0	72900
1988	8	0	47.43	142.7	17.73	3.99	10.86	0	0	0	0	0	142.7	0	0	0	45.46	0	0	72900
1988	9	0	11.66	166.4	23.51	8.39	15.95	0	0	0	0	0	18.24	0	148.16	0	38.88	0	0	72900
1988	10	0	8.3	186	30.36	12.7	21.53	0	0	0	0	0	8.3	0	177.7	0	38.88	0	0	72900
1988	11	0	25.2	161.7	28.4	12.13	20.27	0	0	0	0	0	25.2	0	136.5	0	38.88	0	0	72900
1988	12	0	8.03	128.6	26	8.57	17.29	0	0	0	0	0	8.03	0	120.57	0	38.88	0	0	72900
1989	1	0	0	101.9	23.11	6.25	14.68	0	0	0	0	0	0	0	101.9	0	38.88	0	0	72900
1989	2	0	163.13	28.04	10.27	-1.03	4.62	65.4	57.76	7.64	0	135.09	28.04	15.45	0	0	150.88	0.9	0	72900
1989	3	0	190.68	8.13	6.56	-5.26	0.65	141.32	13.59	5.03	122.69	182.55	0	46.5	0	16.46	150.88	2.7	1	72900
1989	4	0	33.84	5.86	6.04	-7.23	-0.6	27.36	0	4.73	145.32	27.98	0	6.48	0	0	150.88	0.4	0	72900
1989	5	0	91.96	10.77	7.09	-6.48	0.3	67.63	5.76	5.38	201.81	81.19	0	30.09	0	0	150.88	1.8	0	72900
1989	6	0	156.84	57.89	11.32	-0.31	5.5	51.38	241.65	11.55	0	98.95	57.89	46.5	0	242.71	150.88	2.7	14.3	72900
1989	7	0	37.51	130.6	18.2	3.57	10.88	0	0	0	0	0	130.6	0	0	0	57.79	0	0	72900
1989	8	0	57.21	146.3	18.15	4.63	11.39	0	0	0	0	0	76.12	0	70.18	0	38.88	0	0	72900
1989	9	0	7.01	170	24.29	8.71	16.5	0	0	0	0	0	7.01	0	162.99	0	38.88	0	0	72900
1989	10	0	0	179.7	29.56	11.36	20.46	0	0	0	0	0	0	0	179.7	0	38.88	0	0	72900
1989	11	0	2.21	151.3	27.25	9.43	18.34	0	0	0	0	0	2.21	0	149.09	0	38.88	0	0	72900
1989	12	0	60.53	121.9	24.48	7.32	15.9	0	0	0	0	0	60.53	0	61.37	0	38.88	0	0	72900
1990	1	0	38.74	83.09	18.42	3.05	10.74	1.13	0	1.13	0	0	37.61	0	45.49	0	38.88	0	0	72900
1990	2	0	48.86	42.75	14.18	0.44	7.31	10.88	1.32	9.56	0	6.11	39.3	0	3.45	0	38.88	0	0	72900
1990	3	0	0	35.39	10.5	1.56	6.03	0	0	0	0	0	0	0	35.39	0	38.88	0	0	72900
1990	4	0	147.9	10.13	7.06	-5.24	0.91	105.09	11.28	5.29	88.52	137.77	0	0	0	0	92.97	0	0	72900
1990	5	0	130.48	8.25	6.25	-6.68	-0.21	102.73	0	5.05	186.2	122.23	0	0	0	0	120.72	0	0	72900
1990	6	0	85.68	53.81	11.6	-1.15	5.22	31.25	206.44	11.01	0	31.87	53.81	46.5	0	130.4	150.88	2.7	7.7	72900
1990	7	0	37.8	120.56	16.21	3.18	9.7	0.93	0	0.93	0	0	120.56	0	0	0	67.19	0	0	72900
1990	8	0	56.31	144	18.41	3.7	11.05	0	0	0	0	0	84.62	0	59.38	0	38.88	0	0	72900
1990	9	0	1.75	167.8	24.34	8	16.17	0	0	0	0	0	1.75	0	166.05	0	38.88	0	0	72900
1990	10	0	0.76	183.4	29.77	12.4	21.09	0	0	0	0	0	0.76	0	182.64	0	38.88	0	0	72900
1990	11	0	3.92	155.1	27.8	10.27	19.04	0	0	0	0	0	3.92	0	151.18	0	38.88	0	0	72900
1990	12	0	14.93	125	25.06	8.02	16.54	0	0	0	0	0	14.93	0	110.07	0	38.88	0	0	72900
1991	1	0	3.26	96.6	22.01	4.7	13.36	0	0	0	0	0	3.26	0	93.34	0	38.88	0	0	72900
1991	2	0	28.25	37.46	12.89	-0.17	6.36	7.94	0	7.94	0	0	20.31	0	17.15	0	38.88	0	0	72900
1991	3	0	47.34	4.99	5.71	-6.79	-0.54	38.97	0	4.62	34.35	42.35	0	0	0	0	47.25	0	0	72900
1991	4	0	40.62	18.07	9.4	-3.79	2.81	22.45	34.78	6.33	15.69	22.55	0	0	0	0	100.2	0	0	72900
1991	5	0	27.83	44.91	13.23	-0.29	6.47	7.8	13.65	9.85	0	0	44.91	0	0	0	88.97	0	0	72900
1991	6	0	629.15	18.58	5.88	-2.55	1.67	451.53	73.55	6.4	371.58	610.57	0	46.5	0	142.77	150.88	2.7	8.4	72900
1991	7	0	16.48	70.63	12.69	-0.53	6.08	5.02	363.39	13.21	0	0	70.63	45	0	259.22	150.88	2.7	15.3	72900
1991	8	0	34.38	120.42	16.22	2.33	9.27	2.9	0	2.9	0	0	120.42	0	0	0	61.94	0	0	72900
1991	9	0	12.18	159	22.69	7	14.85	0	0	0	0	0	35.24	0	123.76	0	38.88	0	0	72900
1991	10	0	0.11	181.7	29.26	12.32	20.79	0	0	0	0	0	0.11	0	181.59	0	38.88	0	0	72900
1991	11	0	10.58	156	27.53	10.86	19.2	0	0	0	0	0	10.58	0	145.42	0	38.88	0	0	72900
1991	12	0	3.05	137	27.8	10.41	19.11	0	0	0	0	0	3.05	0	133.95	0	38.88	0	0	72900
1992	1	0	86.34	100.1	22.33	6.11	14.22	0	0	0	0	0	86.34	0	13.76	0	38.88	0	0	72900
1992	2	0	51.86	42.31	12.79	1	6.89	11	1.49	9.51	0	9.55	42.31	0	0	0	38.92	0	0	72900
1992	3	0	66.64	19.72	9.36	-2.23	3.56	32.95	26.4	6.55	0	46.92	19.72	0	0	0	79.29	0	0	72900
1992	4	0	50.07	26.7	9.27	-0.41	4.43	20.22	12.76	7.46	0	23.37	26.7	0	0	0	95.19	0	0	72900
1992	5	0	188.11	29.14	10.15	-2.15	4	86.41	75.56	7.78	3.07	158.97	29.14	42	0	50.43	150.88	2.5	3	72900
1992	6	0	112.32	53.04	10.42	-0.46	4.98	40.88	33.04	10.91	0	59.28	53.04	46.5	0	4.93	150.88	2.7	0.3	72900
1992	7	0	2.97	120.57	17.67	2.78	10.23	0.14	0	0.14	0	0	114.83	0	5.75	0	38.88	0	0	72900
1992	8	0	10.33	170.8	22.47	7.66	15.06	0	0	0	0	0	10.33	0	160.47	0	38.88	0	0	72900
1992	9	0	3.53	167.7	24.01	8.29	16.15	0	0	0	0	0	3.53	0	164.17	0	38.88	0	0	72900
1992	10	0	54.91	168.8	26.67	10.62	18.64	0	0	0	0	0	54.91	0	113.89	0	38.88	0	0	72900
1992	11	0	3.89	165.3	29.77	12.11	20.94	0	0	0	0	0	3.89	0	161.41	0	38.88	0	0	72900
1992	12	0	1.87	134.1	26.71	10.23	18.47	0	0	0	0	0	1.87	0	132.23	0	38.88	0	0	72900
1993	1	0	123.19	96.9	21.03	5.84	13.44	0	0	0	0	26.29	96.9	0	0	0	65.17	0	0	72900
1993	2	0	1.17	35.59	11.63	0.07	5.85	0.35	0	0.35	0	0	27.11	0	8.47	0	38.88	0	0	72900
1993	3	0	246.24	4.19	5.36	-6.89	-0.76	208.85	0	4.52	204.34	242.05	0	0	0	0	76.27	0	0	72900
1993	4	0	343.41	7.81	6.12	-5.19	0.46	263.86	0	4.99	463.21	335.6	0	4.94	0	0	150.88	0.3	0	72900
1993	5	0	279.77	11.06	6.29	-4.51	0.89	207.5	16.81	5.41	648.48	268.71	0	42	0	47.09	150.88	2.5	2.8	72900
1993	6	0	125.91	61.92	11.84	-0.04	5.9	37.52	260.63	12.07	413.29	63.99	61.92	46.5	0	240.61	150.88	2.7	14.2	72900
1993	7	0	27.64	85.21	14.21	0.46	7.34	6.11	404.28	15.12	0	0	85.21	45	0	295.6	150.88	2.7	17.5	72900
1993	8	0	7.09	150.7	19.71	4.34	12.03	0	0	0	0	0	119.09	0	31.61	0	38.88	0	0	72900
1993	9	0	86.35	160.2	22.68	7.37	15.03	0	0	0	0	0	86.35	0	73.85	0	38.88	0	0	72900
1993	10	0	0	167.8	27.21	9.73	18.47	0	0	0	0	0	0	0	167.8	0	38.88	0	0	72900
